replicate,architecture,condition,generated,received_lines,unique_received,permanent_missing,duplicates,unexpected,completeness_pct,reconnect_s,backlog_drain_s,restart_count
1,B0,C0,10000,10000,10000,0,0,0,100.000,,,0
1,B0,C1,10000,8000,8000,2000,0,0,80.000,1.307214,,0
1,B0,C2,10000,8000,8000,2000,0,0,80.000,1.329756,,1
1,W1,C0,10000,10000,10000,0,0,0,100.000,,,0
1,W1,C1,10000,10000,10000,0,0,0,100.000,1.309382,67.596918,0
1,W1,C2,10000,10000,10000,0,0,0,100.000,1.377100,67.320791,1
2,B0,C0,10000,10000,10000,0,0,0,100.000,,,0
2,B0,C1,10000,8000,8000,2000,0,0,80.000,1.306527,,0
2,B0,C2,10000,8000,8000,2000,0,0,80.000,1.380250,,1
2,W1,C0,10000,10000,10000,0,0,0,100.000,,,0
2,W1,C1,10000,10000,10000,0,0,0,100.000,1.331298,68.047688,0
2,W1,C2,10000,10000,10000,0,0,0,100.000,1.329536,68.851579,1
3,B0,C0,10000,10000,10000,0,0,0,100.000,,,0
3,B0,C1,10000,8000,8000,2000,0,0,80.000,1.362495,,0
3,B0,C2,10000,8000,8000,2000,0,0,80.000,1.376358,,1
3,W1,C0,10000,10000,10000,0,0,0,100.000,,,0
3,W1,C1,10000,10000,10000,0,0,0,100.000,1.310584,67.549132,0
3,W1,C2,10000,10000,10000,0,0,0,100.000,1.327973,67.438386,1
